Jahr,Anzahl_Sitze,Partei
1848,7,FDP
1848,0,CVP
1848,0,SP
1848,0,SVP
1848,0,BDP
1848,0,LP
1848,0,Andere
1849,7,FDP
1849,0,CVP
1849,0,SP
1849,0,SVP
1849,0,BDP
1849,0,LP
1849,0,Andere
1850,7,FDP
1850,0,CVP
1850,0,SP
1850,0,SVP
1850,0,BDP
1850,0,LP
1850,0,Andere
1851,7,FDP
1851,0,CVP
1851,0,SP
1851,0,SVP
1851,0,BDP
1851,0,LP
1851,0,Andere
1852,7,FDP
1852,0,CVP
1852,0,SP
1852,0,SVP
1852,0,BDP
1852,0,LP
1852,0,Andere
1853,7,FDP
1853,0,CVP
1853,0,SP
1853,0,SVP
1853,0,BDP
1853,0,LP
1853,0,Andere
1854,7,FDP
1854,0,CVP
1854,0,SP
1854,0,SVP
1854,0,BDP
1854,0,LP
1854,0,Andere
1855,7,FDP
1855,0,CVP
1855,0,SP
1855,0,SVP
1855,0,BDP
1855,0,LP
1855,0,Andere
1856,7,FDP
1856,0,CVP
1856,0,SP
1856,0,SVP
1856,0,BDP
1856,0,LP
1856,0,Andere
1857,7,FDP
1857,0,CVP
1857,0,SP
1857,0,SVP
1857,0,BDP
1857,0,LP
1857,0,Andere
1858,7,FDP
1858,0,CVP
1858,0,SP
1858,0,SVP
1858,0,BDP
1858,0,LP
1858,0,Andere
1859,7,FDP
1859,0,CVP
1859,0,SP
1859,0,SVP
1859,0,BDP
1859,0,LP
1859,0,Andere
1860,7,FDP
1860,0,CVP
1860,0,SP
1860,0,SVP
1860,0,BDP
1860,0,LP
1860,0,Andere
1861,7,FDP
1861,0,CVP
1861,0,SP
1861,0,SVP
1861,0,BDP
1861,0,LP
1861,0,Andere
1862,7,FDP
1862,0,CVP
1862,0,SP
1862,0,SVP
1862,0,BDP
1862,0,LP
1862,0,Andere
1863,7,FDP
1863,0,CVP
1863,0,SP
1863,0,SVP
1863,0,BDP
1863,0,LP
1863,0,Andere
1864,7,FDP
1864,0,CVP
1864,0,SP
1864,0,SVP
1864,0,BDP
1864,0,LP
1864,0,Andere
1865,7,FDP
1865,0,CVP
1865,0,SP
1865,0,SVP
1865,0,BDP
1865,0,LP
1865,0,Andere
1866,7,FDP
1866,0,CVP
1866,0,SP
1866,0,SVP
1866,0,BDP
1866,0,LP
1866,0,Andere
1867,7,FDP
1867,0,CVP
1867,0,SP
1867,0,SVP
1867,0,BDP
1867,0,LP
1867,0,Andere
1868,7,FDP
1868,0,CVP
1868,0,SP
1868,0,SVP
1868,0,BDP
1868,0,LP
1868,0,Andere
1869,7,FDP
1869,0,CVP
1869,0,SP
1869,0,SVP
1869,0,BDP
1869,0,LP
1869,0,Andere
1870,7,FDP
1870,0,CVP
1870,0,SP
1870,0,SVP
1870,0,BDP
1870,0,LP
1870,0,Andere
1871,7,FDP
1871,0,CVP
1871,0,SP
1871,0,SVP
1871,0,BDP
1871,0,LP
1871,0,Andere
1872,7,FDP
1872,0,CVP
1872,0,SP
1872,0,SVP
1872,0,BDP
1872,0,LP
1872,0,Andere
1873,7,FDP
1873,0,CVP
1873,0,SP
1873,0,SVP
1873,0,BDP
1873,0,LP
1873,0,Andere
1874,7,FDP
1874,0,CVP
1874,0,SP
1874,0,SVP
1874,0,BDP
1874,0,LP
1874,0,Andere
1875,7,FDP
1875,0,CVP
1875,0,SP
1875,0,SVP
1875,0,BDP
1875,0,LP
1875,0,Andere
1876,7,FDP
